Item,$AQ_​INDEX,$ROCK_​COMP,$POVOMULT,$PERM_​2,$PERM_​1,$KRWMAX,PWS1,PWS2,PWS3,PWS4,PWS5,OIL_CUM,WATER_CUM,WC1,WC2,PWFEND
BU_MACH5_103,0.46750792,1.58E-06,0.14771041,0.042515149,0.137435356,0.554088336,1079.727905,125.7625961,216.397522,1023.888672,1.21E+03,1860564.125,4842594.5,0.490936428,0.901974499,795.4842529
BU_MACH5_104,0.391045625,6.07E-06,0.207435286,0.048781631,0.175006473,0.674199423,1002.79834,107.4879837,134.8648987,715.4383545,6.43E+02,1874907,5064577.5,0.352216989,0.907889783,391.1054382
BU_MACH5_105,0.392800073,2.57E-06,0.492178289,0.062458324,0.13850455,0.50267449,1004.863342,95.29922485,139.6702423,634.5322876,1.78E+03,1936104.875,3867279.25,0.24854368,0.891466022,1756.255127
BU_MACH5_106,0.365056673,4.87E-06,0.313168188,0.045052052,0.140639671,0.550412458,998.0689697,106.0620041,125.9500351,747.175415,1.18E+03,1927698.875,4444894,0.213071212,0.899582326,981.8640747
BU_MACH5_107,0.345857845,4.40E-06,0.251124302,0.050092871,0.16570502,0.455192801,876.9417114,69.85111237,74.86363983,675.6676025,1.45E+03,1925009,4182571.25,0.075120032,0.895691216,1276.547852
BU_MACH5_108,0.670348582,4.18E-06,0.101228858,0.067174194,0.193570348,0.468166677,1338.470459,176.3952484,582.5045776,1278.064697,1.46E+03,1940897.75,4558817.5,0.47485134,0.895471632,1295.922363
BU_MACH5_109,0.331371563,9.03E-06,0.727247291,0.052759508,0.197819868,0.577157506,1336.826904,476.7818298,506.5890808,1178.653442,1.16E+03,1953384,4.24E+06,1.29E-05,0.898247421,1075.184814
BU_MACH5_110,0.377284463,1.65E-06,0.270940672,0.061443742,0.136396411,0.670626469,808.3139648,73.27250671,95.00479889,460.2778931,1.33E+03,1875186.875,4451417.5,0.409412205,0.897748232,1243.907227
BU_MACH5_111,0.489199622,1.22E-06,0.391879666,0.068936583,0.134657253,0.57760979,1121.518555,118.7036667,222.3018646,698.3886108,1.66E+03,1918028.5,4168708.75,0.44787094,0.892371893,1627.829956
BU_MACH5_112,0.680692892,3.90E-06,0.710714835,0.06847322,0.139655629,0.692094867,1425.367432,393.2171631,683.8637695,993.6939087,1.41E+03,1953384,4510873,0.417033494,0.896969795,1309.09082
BU_MACH5_113,0.58589349,2.36E-06,0.285620777,0.059612394,0.179210596,0.600765633,1267.951416,151.9682007,403.2538757,863.8322754,1.06E+03,1917553.875,5152792,0.504531682,0.904371798,781.1398315
BU_MACH5_114,0.629061068,2.80E-06,0.144062563,0.049013898,0.149966952,0.546831721,1332.345215,187.0762024,536.0013428,1230.676758,1.23E+03,1904575.625,5003921.5,0.531185508,0.902213156,860.7699585
BU_MACH5_115,0.523818476,4.97E-06,0.583576067,0.045303464,0.132469622,0.485781045,1318.643799,336.1967468,512.3675537,1170.64502,1.56E+03,1953383.875,4161785,0.208831489,0.894607008,1293.423828
BU_MACH5_116,0.403061007,8.35E-06,0.304066286,0.06784893,0.150490216,0.656092868,1183.985107,189.3756104,252.9395905,792.3297119,1.34E+03,1953284.375,4240277,0.182611704,0.896469474,1354.039429
BU_MACH5_117,0.699905637,5.44E-06,0.971365184,0.066931077,0.192961119,0.681620914,1504.189453,690.4712524,874.1560059,1303.469116,1.23E+03,1953383.875,4771920,0.298485398,0.901782274,1078.521973
BU_MACH5_118,0.552308847,6.42E-06,0.523077456,0.044096039,0.182644478,0.488066958,1352.217163,429.7989502,599.8709717,1248.207275,1.16E+03,1953384,4697519,0.187390581,0.902267218,843.486145
BU_MACH5_119,0.472323984,5.24E-06,0.112860164,0.05491576,0.183973745,0.513626209,1036.109741,118.386467,207.344101,882.4388428,1.14E+03,1918081.375,4760352.5,0.396453738,0.901354194,920.3041992
BU_MACH5_120,0.632491836,4.28E-06,0.686008301,0.06261612,0.151895386,0.491542024,1399.620361,439.2868347,671.2868042,1152.761841,1.70E+03,1953384,3980949.75,0.284855992,0.891843796,1581.314087
BU_MACH5_121,0.529682546,5.41E-06,0.954804987,0.054476357,0.142509122,0.542406461,1413.449951,584.9979858,703.2801514,1281.869629,1.63E+03,1953384,3987708.75,0.007374364,0.893277526,1467.976929
BU_MACH5_122,0.372026002,6.99E-06,0.225009003,0.064942015,0.189561333,0.509550539,1024.06604,105.2527618,125.5137863,715.0330811,1.41E+03,1942785.375,4202053,0.123616613,0.895815551,1361.5177
BU_MACH5_123,0.380255257,6.00E-06,0.63416718,0.060764931,0.146086413,0.529437468,1247.128906,300.703186,346.989624,1005.214172,1.72E+03,1953384,3.80E+06,9.95E-06,0.89200902,1671.966675
BU_MACH5_124,0.544770165,9.58E-06,0.466223121,0.060309415,0.157030015,0.617976394,1397.319824,561.0244751,677.2495728,1127.959595,1.40E+03,1953384,4300753,0.162530646,0.897323608,1288.984863
